0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,config,run
23300,23300,25700,25700,28300,28300,28300,28300,28300,28300,28300,28300,28300,30300,30300,30300,32300,32300,32300,32800,32800,32800,35600,35600,35600,35600,37300,37300,37300,37300,37300,37300,37300,37300,37300,37300,37300,37300,38200,38200,38200,38200,38200,38200,38200,38200,38200,38200,38600,38600,39300,39300,39300,39300,39300,39300,39300,39300,39300,40100,40100,40100,40100,40100,40600,40600,40600,40600,40600,42700,42700,43100,43100,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43500,43500,43500,43500,43500,43500,43500,44300,44300,44300,44300,44300,44300,44300,44300,44300,45500,45500,45500,46200,46200,46200,46200,48400,48400,48400,48400,48400,48400,48400,48400,48400,48400,48400,48400,48400,48400,48400,48400,48400,48400,48400,48400,48400,48400,48400,48400,48400,48400,48400,48400,48400,48400,48400,48400,48400,48400,48400,48400,48400,48400,48400,48800,48800,48800,48800,48800,48800,48800,48800,48800,48800,48800,48800,48800,48800,48800,48800,48800,48800,48800,48800,48800,48800,48800,49100,49100,49100,49100,49100,49100,49100,49100,49100,49100,49100,49100,49100,49100,standard_crossover_xo0.9_swap_mutation_mut0.2_elitism=True,0
24800,24900,28700,28700,28700,30000,30200,30200,30200,30200,30500,32200,36300,36300,36300,36300,36300,36300,36300,36300,36300,36300,36300,37900,37900,37900,37900,37900,37900,37900,37900,37900,37900,37900,37900,39000,39000,39000,39000,39000,39000,39300,40100,40100,40100,40100,40100,40100,40100,40100,40100,40100,41000,41000,41000,41000,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,42600,42600,42600,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,44000,44000,44000,44000,44000,44000,44000,44000,44000,44000,44000,44000,44000,44000,44000,44000,44000,44000,44000,44000,44000,44000,44000,44000,44000,44000,44000,44000,44000,44000,44000,44000,44000,44000,44000,44000,44900,44900,44900,44900,44900,46100,46100,46100,46100,46100,46100,46100,46100,46100,46100,46100,46100,46100,46100,46100,46100,46100,46100,46100,46100,46100,46100,46100,46100,46100,46100,46100,46100,46100,46100,46100,46100,46200,46200,46200,46200,46200,46200,standard_crossover_xo0.9_swap_mutation_mut0.2_elitism=True,1
23300,24900,24900,24900,24900,24900,26100,31800,31800,31800,31800,31800,31800,31800,31800,31800,31800,32700,32700,34900,34900,35900,35900,35900,35900,35900,36100,38100,38100,38100,38100,38100,38100,38300,38300,38300,38300,38300,38300,38300,38300,38300,38600,38600,38600,38600,38600,38600,38600,38600,38600,38600,39000,39000,39000,39000,39000,39000,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,41200,41200,41200,41200,41200,41200,41200,41200,41200,41200,41200,41200,41200,41200,41200,41200,41200,41200,41200,41200,41200,41200,41200,41200,41200,41200,41200,41700,41700,41700,41700,41700,41700,41700,41700,41700,41700,41700,41700,41700,41700,41700,41700,41700,41700,41700,41700,41700,41700,41700,41700,41700,41700,41700,41700,41700,41700,41700,41700,41700,41700,41700,41700,41700,41700,41700,41700,41700,41700,41700,41700,41700,41700,41700,41700,41700,41700,41700,41800,41800,41800,41800,41800,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42700,42700,42700,42700,42700,standard_crossover_xo0.9_swap_mutation_mut0.2_elitism=True,2
26800,26800,26800,26800,26800,26800,26800,26800,26800,26800,27600,28500,29800,29900,29900,29900,29900,31300,33100,33100,33100,33100,33100,33100,35100,35100,35800,35800,35800,35800,35800,35800,35800,35800,35800,35800,35800,35800,35800,35800,35800,35800,35800,35800,35800,36800,36800,36800,36800,36800,37800,37800,37800,37800,37800,37800,37800,37800,37800,37800,37800,37800,37800,37800,37800,37800,37800,37800,37800,37800,37800,37800,37800,37800,37800,37800,37900,37900,37900,37900,38700,38700,38700,38700,38700,38700,38700,38700,38700,38700,38700,38700,38800,39200,39200,39200,39200,39200,39200,39200,39200,39200,39200,39200,39200,39200,39200,39200,39200,39200,39200,39200,39200,39200,39200,39200,39200,39400,39400,39400,39400,39400,39400,39400,39400,39400,39400,39400,39400,39400,39400,39400,39400,39400,39400,39400,39400,39400,39400,39400,39400,39400,39400,39400,39400,39400,39400,39400,39400,39400,39400,39400,39400,39400,39400,39400,39400,39400,39400,39400,39400,39400,39400,39400,39400,39400,39400,39400,39400,39400,39400,39400,39400,39400,39400,39400,39400,40500,40500,40500,40700,40700,40700,40700,40700,40700,40900,40900,40900,43000,43000,43000,43000,43000,44900,44900,44900,44900,44900,44900,standard_crossover_xo0.9_swap_mutation_mut0.2_elitism=True,3
24400,24700,24700,24700,26000,26100,26100,26100,26100,26100,27900,29200,29200,29200,29200,29200,29200,30200,30200,30700,31800,31800,31800,31800,31800,31800,31900,31900,31900,31900,31900,31900,32500,32500,32500,32500,32500,32500,33800,33800,33800,33800,33800,33800,33800,33800,33800,33800,33800,33800,33800,33800,33800,33800,34900,34900,34900,34900,34900,34900,34900,34900,34900,34900,34900,34900,34900,34900,34900,34900,34900,34900,34900,34900,34900,35000,35100,35100,36100,36100,36100,36100,36100,36100,36100,36700,36900,38000,39900,39900,39900,39900,39900,41500,41500,41500,41500,43300,43300,43300,43300,43300,43300,43300,43300,43300,43300,43300,43300,43300,43300,43300,43300,43300,43300,43300,43300,43300,43300,43300,43300,43300,43300,43300,43300,43300,43300,43300,43300,43300,43300,43300,43300,43300,43300,43300,44400,44400,44400,44400,44400,45100,45100,46700,46700,46700,46700,46700,46700,46700,46700,46700,46700,46700,46700,46700,46700,46700,46700,46700,46700,46700,46700,46700,46700,46700,46700,46700,46700,46700,46700,46700,46700,46700,46700,46700,46700,46700,46700,46900,46900,46900,47700,47700,47700,47700,47700,47700,47700,47700,47700,47700,47700,47700,47700,49400,49400,49400,49400,49400,standard_crossover_xo0.9_swap_mutation_mut0.2_elitism=True,4
24800,24800,24800,27400,27400,27400,27700,27700,27700,28900,29600,29600,29600,29900,30700,30800,32000,33000,35000,35400,35400,35400,35400,35400,39200,39200,39200,39200,39200,39200,39200,39200,39200,39200,39200,39200,39200,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,42300,43500,43500,43500,43500,43500,43500,43500,44200,44200,44200,44200,44200,44200,44200,44200,45300,45300,46600,46600,46600,46600,46600,46600,46600,46600,46600,46600,46600,46600,46600,46600,46600,46600,46600,46600,46600,46600,46600,46600,46600,46900,46900,47100,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48200,48200,48200,48200,48200,48200,48200,48200,48200,48200,48200,48200,48200,48200,48200,51000,51000,51000,51000,51000,51000,53400,53400,53400,53400,53400,53400,53400,53400,53400,53700,53700,53700,53700,53700,53700,53700,53700,53700,53700,standard_crossover_xo0.9_swap_mutation_mut0.2_elitism=True,5
24900,24900,24900,25300,25300,31200,31200,31200,31200,31200,31200,31200,31700,31900,31900,31900,33000,33000,33000,34700,34700,34700,34700,34700,34700,34700,34700,34700,34700,34700,34700,34700,34700,34700,34700,34700,34700,34700,35600,35600,35600,35600,35600,35600,35600,35600,35600,35600,35600,35600,35600,36300,36300,36300,36300,36300,36300,36300,36300,36300,36300,36300,36300,37700,37700,37700,37700,37700,37700,37700,37700,37700,37700,37700,37700,37700,37700,37700,37700,37700,37700,37700,37700,37700,37700,37700,38100,38100,40100,40100,40100,40100,40100,40100,40100,40100,40100,40100,40100,40100,40100,40100,40100,40100,40100,40100,42800,42800,42800,42800,42800,42800,42800,42800,42800,42800,42800,42800,42800,42800,42800,42800,42800,42800,42800,42800,42800,42800,42800,42800,42800,42800,42800,43300,43300,43300,43300,43300,43300,43300,44300,44300,44300,44300,44300,44300,44300,44300,44300,44300,44300,44300,44300,44300,44300,44300,44300,44300,44300,44300,44300,44300,44300,44300,44300,44300,44300,44300,44300,45300,45300,45300,45300,45300,47300,48000,48000,48000,48000,48000,48000,48000,48900,48900,48900,48900,48900,48900,48900,48900,48900,48900,48900,48900,48900,48900,48900,48900,48900,48900,standard_crossover_xo0.9_swap_mutation_mut0.2_elitism=True,6
23900,23900,23900,23900,23900,26100,26100,26200,26200,26200,26200,26700,26700,27200,27200,27200,28900,29200,29200,29200,29200,29200,29200,31800,31800,31800,31800,31800,32000,32000,32000,32000,32600,33400,33600,33600,33600,33600,33600,33600,33600,33600,33600,33600,33600,33600,33700,33700,33700,35000,35000,35000,35000,35900,35900,35900,36400,36400,36400,36400,36400,36400,36400,36400,36400,36400,36400,36400,36400,36400,36400,36400,36400,36400,36400,36400,38200,38200,38200,38200,38200,38200,39900,39900,39900,41200,41200,41200,41200,41200,41200,41200,41200,41500,43400,43400,43400,43400,43400,43400,43400,43400,43400,43400,43400,43400,43400,43400,43400,43400,43400,43400,43400,43400,43400,43400,43400,43400,43400,43400,43400,43400,43400,43400,43400,43400,43400,43400,43400,43400,43400,43400,43400,43400,43400,43400,43400,43700,43700,43700,43700,43700,43700,43700,43700,43700,43700,43700,43700,43700,43700,43700,43700,43700,43700,43700,43700,43700,43700,43700,43700,43700,43700,43700,43700,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,45800,47100,47100,47100,49100,49100,50200,50200,50200,50200,50200,50200,50200,50200,50200,50200,50600,standard_crossover_xo0.9_swap_mutation_mut0.2_elitism=True,7
24900,25800,25800,28100,28500,28500,28500,28500,28700,28700,29300,32500,33900,33900,33900,34800,34800,34800,35400,35400,35500,35600,35800,35800,37600,37600,39000,39000,39000,40600,40600,40600,40600,40600,40600,40600,40600,40600,40600,40600,40600,40600,40600,40600,40600,40600,40600,40600,40600,40600,40600,40600,40600,40600,40600,42000,42000,42000,42000,42000,42000,42000,42000,42000,42000,43100,43100,43100,43100,43100,43100,43100,43100,43100,43100,43100,43100,43100,43100,43100,43100,43100,43100,43100,43100,43100,43100,43100,43100,43100,43100,43100,43100,43100,43100,43100,43100,43100,43100,43100,43100,43100,43100,43100,43100,43100,43100,43100,43100,43100,43100,43100,43100,43100,43100,43100,43100,43100,43100,43100,43100,43100,43100,43100,43100,43100,43100,43100,43100,43100,43100,43100,43100,43100,43100,43100,43100,43100,43100,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43300,43300,43900,43900,43900,43900,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,standard_crossover_xo0.9_swap_mutation_mut0.2_elitism=True,8
22900,23700,23700,26100,26100,26100,26100,30000,30000,30000,30000,30000,30000,30000,31100,31200,31200,32000,32000,32000,32000,32000,32000,32000,32000,32000,32100,32900,32900,32900,32900,32900,32900,32900,32900,35100,35100,36900,36900,36900,36900,36900,36900,36900,36900,36900,36900,36900,36900,36900,36900,36900,36900,36900,36900,36900,36900,36900,36900,36900,36900,36900,36900,36900,36900,36900,36900,36900,36900,36900,36900,36900,36900,36900,36900,36900,36900,36900,36900,36900,36900,36900,36900,36900,36900,36900,37000,37000,37000,37000,37000,37000,37000,37100,37100,37200,37200,37200,37200,37500,37500,37500,37500,38600,39400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42500,42500,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,44200,44200,44200,44200,44200,45200,45200,45200,45200,45200,45200,45200,45200,45200,45200,45200,45200,45200,45200,45200,45200,45500,45500,45500,45500,45500,45500,45500,45500,46400,46400,46400,46400,46400,46400,46400,47000,47000,standard_crossover_xo0.9_swap_mutation_mut0.2_elitism=True,9
