0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,config,run
21600,24300,27200,29900,29900,29900,29900,31300,32000,32000,32000,32000,32500,37500,37500,37500,37500,37700,37700,37700,39600,39600,40600,40600,40900,41200,41200,42200,42200,42200,42600,42600,42600,43100,43100,44100,44300,44300,44300,44700,44700,44700,44700,44800,44800,44800,45900,45900,45900,46800,46800,46800,46800,46800,46800,46800,46900,47400,47400,47400,47600,47600,47600,48600,48600,48800,48800,48800,48800,48800,48900,48900,50600,50600,50600,50600,50600,50600,50600,51600,51600,51600,53400,53400,53400,53400,53400,53400,53400,53400,54900,54900,54900,54900,54900,54900,54900,54900,54900,54900,54900,54900,54900,54900,56100,58200,58200,58200,60300,60300,60300,60300,60300,60300,60300,60300,60300,60300,62500,62500,62500,62500,62500,62500,63500,63500,63500,63500,64000,64000,64900,64900,64900,64900,64900,64900,64900,64900,66100,66100,66100,66100,66100,66100,66100,66100,66100,66500,66500,66500,66500,66500,66500,68100,68100,68100,68100,68100,68100,68100,68100,68100,68100,68100,68100,68100,68100,68100,68100,68100,68100,68100,68100,68100,68100,68100,68100,68100,68100,68100,68400,68400,68400,68400,68400,68400,68400,68400,68400,68400,68400,68400,68400,68600,68600,68600,68600,68600,68600,68600,standard_crossover_xo0.9_swap_mutation_mut0.2_elitism=True,0
23500,26300,26300,27000,27000,27000,27000,27000,31100,31100,31100,31300,31300,31300,31300,31300,31300,31300,31300,31300,31300,31700,31700,32000,32000,32000,32800,32800,32800,32800,32800,32800,32900,32900,32900,32900,32900,32900,32900,35700,35700,35700,36300,36300,36300,36300,36400,36700,37700,37700,37700,38500,39200,39700,40700,40900,44000,44000,45100,45100,46300,46300,46300,46300,46300,46300,46300,46300,46300,46300,46300,46300,46300,46300,46300,47300,47300,47300,47300,47300,47300,47300,47300,47300,48000,48000,49500,49500,49500,49500,49500,49500,49500,49800,49900,49900,49900,50200,50200,50200,50200,50200,50200,53000,53000,53000,53000,53000,53000,53000,53100,53100,53100,53100,53100,53100,53100,53100,53100,53100,53100,53100,53100,53100,53100,53100,53100,53100,53200,53200,53200,53200,53400,53400,53900,53900,53900,53900,53900,53900,53900,53900,53900,53900,53900,53900,53900,53900,53900,53900,55200,55200,55200,55200,55200,56200,56200,56200,56200,56200,56200,56400,56400,56400,56400,56900,56900,56900,56900,56900,56900,56900,56900,56900,57100,57100,57100,57100,57100,57100,57100,57100,57100,57100,57100,57100,57100,57100,60800,60800,60800,60800,60800,60800,60800,61300,61300,61300,61300,61300,standard_crossover_xo0.9_swap_mutation_mut0.2_elitism=True,1
23300,24400,24400,25100,25100,27300,27300,27300,28500,31500,32200,33000,34200,34200,34600,35900,36300,36300,36300,37600,37600,38300,39900,39900,39900,39900,39900,41400,41400,41400,41400,41400,41400,41400,41400,43900,43900,43900,43900,44200,44200,45000,46200,46200,46200,46200,46200,46200,48100,48100,48100,48100,48100,50100,50100,50100,50100,50100,50100,50100,50100,50600,50600,50600,50600,50600,50600,50600,50600,53300,53300,53300,53300,53300,53300,53500,53500,54300,54300,54300,54500,54500,54600,54600,55400,55400,55400,55400,55400,55400,55400,55400,55400,55400,55400,55400,55400,55400,55400,55400,55400,55400,55400,55400,55400,55400,55600,56300,56300,56300,56300,56300,57000,57000,57000,57000,57300,57300,57300,57300,57300,57900,57900,57900,57900,58200,58700,58700,58700,58700,59400,59400,59400,59400,59400,59400,59400,59400,59400,59400,59400,59900,59900,59900,61300,61300,61300,61300,61300,61300,61300,61300,62200,62200,62200,62200,62200,62500,63500,63500,63500,63500,63500,63500,63500,63500,63500,63500,63500,63500,63500,63500,64700,64700,64700,64700,64700,64700,64700,64700,64700,64700,64700,64700,65100,65100,65100,65100,65100,65100,65100,65100,65100,65800,65800,65800,65800,65800,65800,65800,standard_crossover_xo0.9_swap_mutation_mut0.2_elitism=True,2
24700,27200,27200,27200,27300,27300,28500,29500,29500,29500,29500,29500,29500,29500,31300,31300,31600,32500,32500,32600,32600,33600,33600,34400,34400,34400,34500,38300,38300,38300,38300,38300,38300,38300,38300,38300,38300,38300,41600,41600,41600,41600,41600,41600,41600,41600,42200,43800,43800,43800,43800,45100,45200,45200,45200,45700,45700,45700,45700,45700,45700,45700,46800,47400,47400,47400,47400,47500,47500,47600,49500,49500,50800,50800,50800,50800,51100,51100,51100,51100,51100,51100,51100,51100,51100,51100,51100,51100,51100,51100,51100,51100,51100,53900,53900,53900,55100,55100,55100,55100,55100,55100,56000,56100,56900,56900,57000,57000,57000,57000,57000,57000,57000,59100,59100,59100,59100,59100,59100,59100,59100,59100,59100,59100,59100,59100,59100,59100,59100,59100,59100,59100,59100,59100,59100,59100,59100,59100,60600,60600,60600,60700,60700,60700,60700,61100,61100,61500,61500,61500,61500,63000,63000,63000,63000,63000,63000,63000,63000,63000,63000,63000,63400,63400,63400,63400,63400,63400,63400,63400,63400,63400,64400,64400,64400,64400,64400,64400,64400,64400,64400,64400,64400,64400,64400,64400,64400,64400,64400,64400,64400,64400,64400,64400,64400,64800,64800,64800,64800,64900,standard_crossover_xo0.9_swap_mutation_mut0.2_elitism=True,3
23300,23500,23500,23500,26700,29200,29200,31400,31400,31500,32100,32100,33300,33300,33800,36700,36700,36700,37400,39400,39400,39400,39400,39400,41000,41000,41000,41000,41000,41000,42300,43100,43100,43100,43500,44300,44500,46600,46600,46600,46600,46600,46600,46600,46600,46600,46600,46600,46700,46700,46700,46700,47800,47800,47800,47900,47900,48600,49800,49800,49800,49800,49800,52100,52100,52100,52100,52100,52100,52100,52100,52100,52100,52100,52100,52100,52100,52100,52100,52100,52100,52100,52100,52100,52100,52100,52100,52100,52100,52100,52100,52100,52100,52100,52100,52100,52100,52100,52100,52100,53300,54200,54200,54200,54200,54200,54200,54200,54200,54200,55000,55000,55000,55000,55000,55000,55000,55000,55600,55600,55600,55600,55600,55600,55600,55600,55600,55600,55600,55600,55600,55600,56100,56100,56100,56100,56100,56100,56100,56300,56300,56700,56700,56700,56700,56700,56700,56700,57200,57600,57600,57600,57600,57600,57600,57600,59100,59100,59100,59100,59100,59100,59100,59100,59100,59100,59100,59100,59100,59100,59100,59100,59100,59100,59100,59100,59100,59100,59100,59100,59100,59100,59100,59100,59100,59100,59800,59800,59800,59800,59800,60900,60900,60900,60900,60900,60900,60900,60900,60900,standard_crossover_xo0.9_swap_mutation_mut0.2_elitism=True,4
23200,24500,27000,27000,27100,27100,29100,30100,33600,33600,33700,36000,36000,36000,36000,36900,38100,40700,40700,40800,40800,40800,40800,40800,40800,40800,40800,40800,41700,41700,41700,42100,42400,43000,43000,43000,44500,44500,44500,44500,44500,44500,44500,44500,44500,44700,44700,44700,44700,44700,45100,46700,46700,46700,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48100,48100,48100,48200,48200,50100,50100,50100,50100,50100,50100,50700,50700,50700,50700,50700,50700,50700,50700,50700,50700,50700,50700,50700,51400,51400,51400,51400,51600,51800,51800,52400,53100,53100,53100,53800,54100,54100,54100,54100,54100,54100,54100,54100,54300,54300,54300,54300,54600,54600,54600,54600,54600,54600,54600,54600,54600,54600,57000,57000,57000,57000,57000,57000,57000,57000,57000,57000,57000,57000,57000,57000,57000,57000,57000,57000,57000,57000,57000,57000,57000,57000,57000,57000,57000,57000,57000,57000,57000,57000,57000,57000,57000,57000,57000,57000,57000,57000,57000,57000,57000,57300,57300,57300,57300,59500,59500,59500,59500,59500,59500,59500,59500,59500,59500,59500,59500,59500,59500,59500,59500,59500,59500,59500,59500,59500,59500,59500,59500,59500,59500,59500,59500,59500,59500,59500,standard_crossover_xo0.9_swap_mutation_mut0.2_elitism=True,5
26400,27700,27700,27700,27700,29700,29700,30500,32700,33400,33400,33400,34000,36300,36300,39100,39100,39100,39100,39100,39100,39200,39200,39200,39200,39200,39700,39700,39700,40800,40800,41900,41900,43900,43900,44000,44000,44000,44000,44200,44200,44200,44200,44200,44200,44200,44200,44200,44200,45000,45000,45000,45100,45100,45100,45100,46200,46200,47000,47000,47600,47600,48000,48000,48000,48000,48500,48500,49500,49500,49500,49500,49500,49500,49500,49500,52600,52600,52600,52600,52600,52600,52600,52600,52600,52600,52600,52600,54000,54000,54000,54000,54000,54000,54000,54100,54100,54700,54700,54700,54700,54700,54900,54900,56700,56700,56700,56700,56700,56700,56700,56700,56700,57400,57400,57400,57400,57400,57400,57400,57400,59500,59500,59500,59500,59500,59500,59500,60200,60200,60200,60200,60200,60200,60200,60200,60200,60200,60200,60200,60500,60500,60600,60600,60600,60600,60700,60700,60700,61500,62600,62600,62600,63500,63500,63500,66000,66000,66000,66000,66000,67600,67600,67600,67600,68500,68500,68500,68500,68500,68500,68500,68500,68700,68700,69000,69000,69000,69000,69200,69700,69700,69700,69700,69700,69700,69700,69700,69700,69700,70100,70100,70100,70100,70100,70100,70100,70100,70100,70100,standard_crossover_xo0.9_swap_mutation_mut0.2_elitism=True,6
23400,24000,24800,25000,26400,26400,26400,26700,30300,30300,34600,34600,34600,34600,35400,35400,35400,35400,36400,39600,39600,40300,40300,40300,42100,42100,42100,42100,42100,42800,44400,44400,44500,45100,45100,45200,47200,47200,48000,48000,48000,48200,50700,51600,51600,51600,51600,51600,51600,51600,51600,51600,51600,51600,51600,52600,52600,52600,53900,53900,53900,53900,53900,53900,53900,53900,53900,53900,55000,55000,55000,55000,55000,55000,55000,55000,55200,55800,55800,55800,55800,55800,55800,56200,56200,56200,56500,56900,56900,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,60100,61300,61300,61300,61300,61300,61300,61600,61600,61600,61600,61600,61600,61600,61600,61600,61600,61600,61600,61600,63500,63500,63500,63500,63500,63500,63500,64900,64900,64900,64900,64900,64900,64900,64900,64900,64900,64900,64900,65000,65000,65000,66900,66900,66900,66900,66900,66900,66900,66900,66900,66900,66900,66900,66900,66900,66900,66900,66900,66900,66900,66900,66900,66900,66900,66900,66900,66900,66900,66900,66900,66900,67100,67100,67100,67100,67400,67400,67400,67400,67400,67400,67400,67400,67400,67400,67400,67400,67400,67400,67400,67400,67400,67400,67400,67400,standard_crossover_xo0.9_swap_mutation_mut0.2_elitism=True,7
22100,26700,26700,30900,30900,30900,33900,33900,33900,33900,33900,34400,34400,34400,35800,35800,35800,35800,35800,36700,37200,37200,37200,37200,37900,37900,38000,38500,38500,38600,38600,38600,39100,39100,39100,39100,41300,41300,41300,41400,41400,41400,41400,41400,42000,42000,44900,44900,44900,44900,45500,45500,45500,45500,45500,45500,46700,48300,49900,49900,49900,49900,50400,50400,50400,50700,51000,51000,51800,51800,51800,51800,52200,54100,54100,54200,54200,54200,54200,55300,55300,55400,55400,55400,57600,57600,57600,58500,58500,58500,58500,58500,58500,60100,60100,60100,60100,60100,60100,60100,60100,60100,60100,60100,60400,60400,60400,60400,60400,60400,60400,60400,60400,60400,60400,60400,60400,60400,60400,60400,60400,60400,60400,61400,61400,61900,61900,61900,61900,62800,62800,62800,62800,62800,62800,62800,62800,62800,62800,62800,62800,62800,62800,62800,62800,62800,62800,62800,62800,63000,63000,63000,63200,63200,63200,63200,63200,63200,63200,63200,63200,63200,63300,63300,64000,64000,64000,65300,65300,65300,65300,66200,66200,66200,66200,66200,66200,66200,66200,66200,66200,66200,66200,66200,66200,66200,66200,66200,66200,67500,67500,67500,67500,67500,67500,67500,67500,67500,67500,67500,standard_crossover_xo0.9_swap_mutation_mut0.2_elitism=True,8
21800,26900,26900,26900,26900,28000,28800,28800,29100,32500,33000,34100,34200,34200,34200,34200,34200,35500,35500,35500,35500,35500,35500,35800,35800,35800,38700,38700,38700,39500,39500,39500,39500,40400,41700,41700,41700,41700,41700,43500,43500,43500,43500,43500,43500,43500,43500,43500,43800,44900,46500,46500,46500,46500,46500,46600,46600,47900,47900,47900,47900,47900,47900,47900,50500,50500,50500,50900,50900,50900,50900,52200,52200,52400,52400,52400,54000,54000,54000,54000,54000,54100,54100,55800,55800,55800,55800,55800,55800,55800,56000,56000,56000,59100,59100,59100,59800,59800,59800,59800,59800,59800,60900,61200,61200,61200,61200,61200,61200,61300,61700,61700,61700,61700,61700,61900,61900,61900,61900,62100,62100,62100,62100,62100,62100,62100,62100,62100,62100,62900,62900,62900,62900,62900,62900,63000,63700,63700,63800,63800,64900,64900,64900,64900,64900,64900,64900,64900,64900,64900,64900,64900,64900,64900,65200,65200,65200,65200,65200,65200,65200,65700,65700,66000,66000,66000,66000,66000,66000,66000,66000,66000,66000,66000,66000,66000,67800,67800,67800,67800,67800,67800,67800,67800,67800,67800,67800,67800,67800,67800,67800,67800,68600,68600,68600,68600,68600,68600,68600,68600,standard_crossover_xo0.9_swap_mutation_mut0.2_elitism=True,9
