0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,config,run
25600,26800,29800,30000,30700,30700,31100,31100,31100,32200,32200,35600,35600,35600,35700,39300,39300,39300,39500,41600,43000,43700,44900,44900,45200,45300,46300,46800,46800,47000,47700,47700,47700,47700,48600,48600,48600,48600,48600,48600,48700,48700,48900,48900,48900,50100,50100,50100,50200,50200,52100,52100,52100,52100,52600,53400,53400,53400,53400,53500,54200,54200,54200,54200,54200,54600,55800,55800,55800,56500,56500,56700,56700,56700,58300,58300,58300,58300,58300,58300,58300,58300,58300,58800,61200,61200,61200,61200,61200,61200,61200,61200,62300,62300,62300,62300,62300,63100,63600,63600,63600,63600,63600,63600,63600,63600,63700,63700,65100,65100,65100,65100,65100,65100,65100,65100,65100,65100,65100,65100,66600,66600,66600,66600,66600,66600,66600,66600,66600,66600,67000,67000,67000,67000,67000,67000,67000,67000,67000,67000,67000,67000,67000,67000,67200,67200,67200,67200,67200,67200,67300,67300,67400,67400,67400,67400,67400,67400,67400,67400,69900,69900,69900,69900,69900,70000,71600,71600,71600,71600,71600,71600,71600,71600,71600,71600,71600,71600,71600,71700,71700,71700,71700,71700,71700,71700,71700,71700,71800,71800,71800,71900,71900,71900,71900,71900,71900,71900,71900,71900,standard_crossover_xo0.9_swap_mutation_mut0.2_elitism=True,0
23800,23800,24900,24900,27600,28100,28900,28900,29400,30200,30200,30200,30700,31900,32000,32400,32400,32700,34200,34200,36500,36500,36600,36600,36600,38000,38900,39500,39500,39500,39800,41700,43100,43100,43100,43100,43100,44100,44500,44500,44500,46600,46600,46600,46600,46600,46600,46600,46600,46600,46600,46600,46600,47100,47100,48800,48800,48800,48800,48800,48800,49500,50900,50900,51000,51000,52900,52900,54200,54200,54200,54200,54200,54200,54200,54200,54200,55800,55800,55800,55800,55800,55800,55800,55800,55800,55800,55800,55800,55800,55800,55800,57100,57100,57100,57100,57100,57100,58100,58100,58400,58400,58400,59400,59400,59400,59400,60100,60100,60100,60100,60100,60100,60100,60100,60100,60100,60100,60100,60100,60100,60100,60100,60100,60100,60100,60100,60100,61400,61400,61400,61400,61400,61400,61400,61400,61400,61400,61400,61400,62800,62800,62800,62800,62800,63800,63800,63800,63800,63800,63800,64700,64700,64700,64700,64700,64700,64700,64700,64700,64700,64700,64700,65200,65200,65200,65200,65200,65200,65200,65200,65200,65200,65200,65200,65200,65200,65200,67100,67100,67100,67100,67100,67100,67100,67100,67200,67200,67200,67200,67200,68800,68800,68800,69200,69200,69200,69200,69200,69200,standard_crossover_xo0.9_swap_mutation_mut0.2_elitism=True,1
27900,28100,28400,29400,30600,30600,31300,34200,34200,34200,34200,34300,34300,34800,39100,39100,39100,39600,42100,42100,42100,42100,42200,42200,43400,44700,45200,45200,45200,45200,45200,46800,46800,46800,46800,50200,50200,50200,50200,50200,51700,51900,51900,51900,51900,51900,52300,52800,52800,54900,54900,55100,55100,55100,55800,55800,55800,55800,55800,58200,58200,58200,58500,58500,60100,60100,60100,60100,60100,60100,60100,60100,60100,62000,62000,62000,62000,62000,62000,62000,62000,63300,63300,63300,63300,63300,63300,63300,63300,65500,65500,65500,65500,65500,65500,65500,65500,65500,66000,66000,66000,66200,66200,66200,66200,66200,66400,66700,66700,66700,66700,66700,66700,66700,66700,66700,66700,66700,66700,66700,66700,66700,66700,66700,66700,66700,66900,66900,66900,66900,66900,66900,66900,66900,66900,66900,66900,66900,66900,66900,66900,69000,69000,69000,69000,69300,69300,69300,69300,69300,69300,69300,69300,69300,69300,69300,69300,69300,71300,71300,71300,71300,71300,71300,71300,71300,71300,71300,71300,71300,71300,71300,71300,71300,72600,72600,72700,72700,73800,74000,74000,74000,74000,74000,74000,74000,74000,74000,74200,74200,74200,74200,74200,74200,74200,74200,75200,75200,75200,75200,standard_crossover_xo0.9_swap_mutation_mut0.2_elitism=True,2
23900,25000,26600,26600,27400,28200,30100,32200,33000,35400,35400,35400,36100,37200,37200,37900,37900,38500,38500,38500,40900,40900,40900,42300,42400,42400,42400,42400,42400,42900,42900,44300,45400,45400,45400,45400,45400,46400,46400,46400,46400,46900,46900,47000,47000,48500,48500,49300,49300,49900,50000,50000,50000,50000,50000,50000,51000,51600,51600,51600,53400,53400,53400,53400,53400,53400,53400,55000,55000,55000,55000,55000,55000,57200,58200,58200,58200,58200,58200,58200,58200,58200,58200,58200,58600,58600,58800,60400,61600,61600,61600,61600,61600,61600,62700,62700,62700,62700,62700,62700,62700,65200,65200,65200,65200,65200,65200,65200,65200,65200,65200,65200,65200,66700,66700,66700,66700,66700,66700,66700,66700,66700,66700,66800,67000,67100,67100,67100,67200,67200,67200,67800,67800,67800,67900,67900,67900,67900,68100,69000,69000,69000,69000,69000,69000,69000,69000,69000,69000,69000,69000,69000,70000,70000,70000,70700,70900,70900,71400,71400,71400,71400,71400,71400,71400,71400,71400,71400,71400,71400,71500,71500,71500,71500,71500,71500,71500,71500,71500,71500,71500,71500,71500,71500,71500,71800,71800,71800,71800,71800,71800,71800,71800,71800,71800,71800,71800,71800,71800,71800,standard_crossover_xo0.9_swap_mutation_mut0.2_elitism=True,3
24200,24200,26600,26600,29000,31000,31400,31700,34100,34100,38900,38900,39100,39100,39100,40000,40000,40700,41600,44900,44900,44900,44900,46400,47100,47100,47100,47100,47100,47100,48500,49200,49200,49200,49200,49900,49900,49900,49900,49900,49900,52000,52000,52000,52000,52000,52000,52000,52000,54000,54000,54000,54000,54900,55900,55900,55900,55900,55900,56700,56700,57600,57600,57600,57800,59500,59500,59500,59500,59500,59900,59900,59900,59900,59900,60200,60200,60900,60900,61100,61100,61100,61100,61100,61100,61200,61200,61300,62600,63300,63300,63300,63300,63300,63300,63300,63300,63800,63800,63800,63800,63800,63800,65500,65500,65500,65500,65500,65500,65700,65700,65700,65700,65700,65700,65700,65700,65700,65700,65700,65700,65700,65700,66000,66000,66000,66000,66000,66000,66000,66300,66300,68000,68000,68000,68000,68000,68000,68000,68000,68000,68000,68000,68000,68000,68000,68000,68000,68000,68000,68000,68000,68000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70300,70800,70800,70800,70800,70800,70800,70800,70800,70800,70800,70800,70800,70800,70800,70800,70800,70800,70800,70800,70800,70800,70800,70800,71100,71100,71200,71200,71200,71200,71200,71200,71200,71200,71200,71200,standard_crossover_xo0.9_swap_mutation_mut0.2_elitism=True,4
21500,24600,27400,27400,27400,27400,30300,30300,33300,33300,34400,35100,35100,37500,39500,39500,40300,40300,41400,41400,43400,44200,44200,44500,44500,45500,45500,45500,45500,46900,47500,47500,47500,47500,47900,49100,49100,50800,50800,51900,51900,51900,51900,52700,52700,53900,54100,54100,55900,55900,55900,55900,55900,55900,56600,56600,57900,57900,57900,57900,58600,58600,58600,58600,58600,58600,61400,61400,61400,61400,61400,61400,61400,61400,61400,61400,61400,61400,61400,61400,64200,64200,64200,64200,64200,64200,64200,64200,64200,64200,64200,64700,64700,64700,64700,64700,64700,64700,64700,64700,64700,64700,64700,66100,67000,67000,67000,67000,67000,67000,67000,67000,67000,67200,67200,67200,67200,67300,67300,67300,67400,67400,67400,67400,67400,67400,67400,67400,67400,67400,67400,67400,67400,68600,68600,68600,68600,68700,68700,68700,68700,68700,68700,68700,68700,68700,68700,68700,68700,68700,68700,68700,68700,68700,68700,68700,68700,68800,68800,68800,68800,68800,68800,68800,68800,68800,68800,68800,68800,68800,68800,68800,68800,68800,68800,68800,68800,68800,69000,69000,69000,69000,69000,69000,69000,69000,69000,69000,69000,69000,69000,69000,69000,69000,69000,69000,69000,69000,69000,69000,standard_crossover_xo0.9_swap_mutation_mut0.2_elitism=True,5
21200,23700,23700,28400,29600,32400,32400,32400,32400,32800,34500,34500,35600,35600,36300,36800,36900,38800,40100,40800,40800,42800,42800,42900,43200,43800,44400,44400,44900,44900,44900,44900,45900,46700,46700,46700,46900,46900,46900,48200,48300,48300,48300,49000,49000,49000,49200,49200,49200,49900,51800,51800,51800,51800,51800,51900,53700,53700,53700,58700,58700,58700,58700,58700,58700,58700,58700,58900,58900,60400,60400,60400,60400,61200,61200,62000,62400,62400,62400,62400,62400,62400,62400,62600,62600,62600,62600,62600,62600,63900,63900,63900,64000,64200,64200,64200,64200,64200,64200,64200,64200,64200,64200,65600,65600,65600,66200,66200,66200,66200,66200,66200,66200,66200,66200,66300,66300,66300,66300,66300,66300,66300,66300,66300,66800,66800,66800,66800,66800,66800,66800,66800,66800,66800,66800,67400,68200,68200,68200,68200,68800,68800,68900,68900,69000,69000,69000,69600,69600,69600,69600,69600,69600,69600,69600,69600,69600,69600,69600,70500,70500,70500,70500,70500,70500,70500,70500,70700,70700,70700,70700,70700,70700,70700,70700,70700,70700,70700,72100,72100,72100,72100,72100,72100,72100,72100,72100,72100,73700,73700,73700,73700,73700,73700,73700,73700,73700,73700,73700,73700,standard_crossover_xo0.9_swap_mutation_mut0.2_elitism=True,6
24700,26000,26000,26900,26900,28800,28800,28800,30000,31600,33000,33000,33700,33700,34300,34300,34300,35500,36100,36100,37700,37700,37700,38400,38400,38400,39900,39900,40800,41500,41900,41900,41900,41900,42500,42500,42500,42600,43700,43700,43700,43700,43700,44800,45000,45000,45000,45000,45000,45300,46100,46100,46100,46100,46100,46600,48000,48000,48000,48000,50500,50900,50900,50900,50900,50900,50900,53000,53000,53000,53000,53000,54700,54700,54700,55100,55100,56900,58000,58600,58600,58600,58600,58600,58700,59700,59700,59900,59900,59900,60400,60700,60700,60700,60700,61500,61500,61500,61500,61500,61500,62700,62700,62700,62700,62700,62700,62700,62800,62800,62800,62800,62800,62800,62800,64000,64000,64000,64000,64000,64000,64000,64000,64000,64000,65800,65800,65800,66500,66500,66500,66900,67900,68000,68000,68000,68900,70300,70300,70300,70300,70500,70500,70500,70500,71200,71200,71200,71200,71200,71200,71200,71200,71200,71200,71200,71200,72900,72900,72900,72900,72900,72900,72900,72900,72900,72900,72900,72900,72900,72900,72900,72900,72900,72900,73500,73500,73500,73500,73500,73500,73500,73500,73500,73500,73500,73500,73500,73500,73500,73500,73500,73500,73500,73500,73500,73500,73500,73500,73500,standard_crossover_xo0.9_swap_mutation_mut0.2_elitism=True,7
23400,24300,28700,32700,32700,34000,34000,36000,36000,36700,40500,43500,43500,43500,44100,44100,44100,44100,44100,44200,46100,46700,46700,46700,46800,47800,47800,49200,49200,49300,49300,49400,49400,49500,49700,49700,49700,50700,50700,50700,50700,50700,50700,50900,50900,51000,51000,51000,51300,52200,52200,52200,53100,53400,53400,53400,54600,54600,54600,54600,54600,54600,54600,54600,54700,54800,55100,55900,55900,55900,57300,57300,57300,57300,57300,57300,57600,57800,58600,59500,59500,59700,59700,59700,59700,59700,59700,59700,59700,59800,59800,59800,59800,59800,59800,59800,60000,60400,61200,61200,61200,61200,61400,61400,61400,61400,61400,61400,63400,63400,63400,63400,63400,63400,63400,65400,65400,65400,65400,65400,65400,65400,65400,65400,65400,65400,65400,65400,65400,65400,65600,65700,65700,65700,65700,65700,65700,65700,65700,65900,67200,67200,67200,67200,67200,67200,67200,67200,67200,67200,67400,67400,67400,67400,67400,67400,67400,67400,67400,67400,68000,68000,68000,68000,68000,68000,68000,68000,68000,68000,68000,68000,68000,68000,68000,69800,69800,69800,69800,69800,69800,69800,69800,70900,70900,70900,70900,70900,70900,70900,70900,70900,70900,70900,70900,70900,70900,70900,70900,70900,standard_crossover_xo0.9_swap_mutation_mut0.2_elitism=True,8
24800,26900,29300,29400,29700,29800,30100,31900,32900,34700,35500,36100,37100,38700,38700,38800,38800,38800,39100,40700,41400,41600,44600,45700,45700,45700,45700,45700,45700,47100,47500,47500,48900,48900,48900,48900,48900,49200,49200,49500,49500,51000,51000,51000,51000,51000,51000,51000,51000,52500,52500,52500,52500,52500,52500,52500,53800,53800,54100,54700,54700,54700,56300,56300,56300,57500,57500,57500,57500,57500,57500,57500,58400,58400,58400,58400,58400,58400,58400,60700,60700,60700,60700,60700,60700,60700,60700,60700,60700,61300,61300,61500,61500,61500,61500,62700,62700,62700,62700,62700,63800,63800,63800,63800,63800,63800,63900,63900,63900,65900,65900,67600,67600,67600,67600,67600,67600,67700,69200,69200,69200,69200,69200,69200,69200,69200,69800,69800,69800,69800,69800,69800,69800,70100,71200,71200,71200,71200,71200,71200,71300,71300,71300,71300,71300,71300,71300,71300,71300,71300,71300,71300,71300,71300,71300,71300,71300,71300,71300,71300,71300,71300,71300,71300,71300,71300,71300,71300,71300,71600,71600,71600,71600,71600,71600,71600,71600,71600,71600,71600,71600,71600,71600,71600,71600,71600,71600,71700,71700,71700,71700,71700,72400,72400,72400,72400,72400,72400,72500,72500,standard_crossover_xo0.9_swap_mutation_mut0.2_elitism=True,9
